t_index term df
1694 champion 55
1695 championship 7
1696 chanc 99
1697 chancellor 5
1698 chanda 3
1699 chandeli 2
1700 chandler 6
1701 chandrika 1
1702 chang 144
1703 changeov 9
1704 channel 18
1705 chant 31
1706 chao 36
1707 chaotic 7
1708 chap 2
1709 chapel 4
1710 chaplain 7
1711 chaplin 1
1712 chappaqua 11
1713 chapter 7
1714 char 3
1715 charact 13
1716 character 7
1717 characterist 5
1718 charad 1
1719 charg 193
1720 charisma 2
1721 charit 5
1722 chariti 5
1723 charl 24
1724 charleston 2
1725 charlestown 1
1726 charli 2
1727 charlott 2
1728 chart 2
1729 charter 7
1730 chase 22
1731 chasm 2
1732 chat 5
1733 chattanooga 1
1734 chatti 1
1735 chau 1
1736 chauffeur 1
1737 chavez 4
1738 cheap 1
1739 cheat 11
1740 chebeck 8
1741 chechnya 8
1742 check 40
1743 checker 1
1744 checkpoint 2
1745 checkup 3
1746 cheek 1
1747 cheer 34
1748 cheerlead 2
1749 chees 1
1750 chef 2
1751 chela 4
1752 chell 1
1753 chelsea 17
1754 chemic 7
1755 chemistri 3
1756 chemotherapi 1
1757 cheney 31
1758 cheri 12
1759 cherish 2
1760 chernomyrdin 2
1761 cheroke 3
1762 cheron 3
1763 cherri 2
1764 chesapeak 1
1765 chest 8
1766 chetna 1
1767 chetsov 1
1768 chew 1
1769 chi 24
1770 chic 1
1771 chicago 6
1772 chicken 2
1773 chide 1
1774 chief 196
1775 chiefli 3
1776 child 45
1777 childhood 4
1778 children 69
1779 chile 8
1780 chill 13
1781 chilli 5
1782 chillicoth 1
1783 china 31
1784 chines 10
1785 ching 1
1786 chink 1
1787 chino 1
1788 chip 8
1789 chirac 6
1790 chisel 1
1791 chizhov 1
1792 chizov 1
1793 chladkova 3
1794 chlorin 4
1795 chocol 1
1796 choi 1
1797 choic 41
1798 chok 1
1799 choke 7
1800 cholera 1
1801 chomp 1
1802 chon 1
1803 choos 18
1804 chopper 1
1805 chopstick 1
1806 choreograph 1
1807 chorichech 1
1808 choru 1
1809 chose 13
1810 chosen 14
1811 chouchescu 1
1812 chow 1
1813 chri 34
1814 chrisdorton 1
1815 christen 3
1816 christi 4
1817 christian 27
1818 christina 3
1819 christma 61
1820 christoph 17
1821 chronic 2
1822 chronicl 2
1823 chrysanthemum 1
1824 chu 1
1825 chubbi 2
1826 chuck 9
1827 chuckl 2
1828 chudakova 3
1829 chunk 4
1830 church 43
1831 churchvil 1
1832 cia 23
1833 cienfuego 1
1834 cigarett 2
1835 cinder 1
1836 cinderblock 3
1837 cinema 2
1838 circl 19
1839 circu 3
1840 circuit 8
1841 circul 8
1842 circumst 32
1843 circumstanti 2
1844 circumv 3
1845 cisnero 7
1846 ciss 1
1847 citadel 1
1848 citat 2
1849 cite 38
1850 citi 217
1851 citizen 73
1852 citizenri 2
1853 citizenship 10
1854 citywid 1
1855 civic 4
1856 civil 61
1857 civilian 52
1858 clad 1
1859 claiborn 1
1860 claim 129
1861 clair 6
1862 clamber 5
1863 clamor 3
1864 clandestin 2
1865 clap 1
1866 clarenc 1
1867 clarifi 3
1868 clariti 1
1869 clark 41
1870 clarkston 1
1871 clash 54
1872 clasp 1
1873 class 29
1874 classic 7
1875 classifi 36
1876 classmat 2
1877 classroom 2
1878 clavet 1
1879 claw 6
1880 clay 4
1881 clean 22
1882 cleanli 1
1883 cleans 6
1884 clear 187
1885 clearanc 5
1886 clearer 4
1887 clearest 1
1888 clearli 56
1889 cleavag 1
1890 cleaver 1
1891 clemenc 31
1892 clement 24
1893 clergi 2
1894 cleric 3
1895 clerk 6
1896 cleveland 1
1897 clever 4
1898 cleverli 1
1899 click 2
1900 client 9
1901 clifford 2
1902 clijster 11
1903 climact 1
1904 climat 3
1905 climax 4
1906 climb 22
1907 clime 1
1908 clinch 2
1909 cling 8
1910 clinic 8
1911 clink 1
1912 clinton 271
1913 clintonesqu 1
1914 clintonit 1
1915 clip 2
1916 clister 1
1917 cloak 1
1918 clock 8
1919 clod 1
1920 clodfelt 4
1921 clog 1
1922 cloister 1
1923 cloner 1
1924 closabl 1
1925 close 252
1926 closemouth 1
1927 closer 29
1928 closest 32
1929 closet 1
1930 closeup 1
1931 closhg 1
1932 closur 7
1933 cloth 44
1934 cloud 21
1935 cloudless 1
1936 clout 4
1937 clown 1
1938 clton 1
1939 club 15
1940 clue 27
1941 clump 1
1942 clumsi 1
1943 clung 2
1944 cluster 4
1945 clutch 4
1946 clyde 1
1947 cmc 1
1948 cmdr 35
1949 cnn 49
1950 co 2
1951 coach 15
1952 coachlight 8
1953 coal 31
1954 coalit 34
1955 coalmin 1
1956 coast 106
1957 coastal 10
1958 coastlin 9
1959 coat 8
1960 coax 3
1961 cobar 1
1962 coburn 4
1963 coca 2
1964 cocain 8
1965 cochran 4
1966 cochranvil 1
1967 cock 6
1968 cocker 1
1969 cocktail 3
1970 coco 2
1971 cocoa 14
1972 cocodi 3
1973 code 7
1974 codi 5
1975 coercion 1
1976 coetzer 16
1977 coey 1
1978 coffe 25
1979 coffer 2
1980 coffield 1
1981 coffin 14
1982 cognac 1
1983 cohen 56
1984 coher 1
1985 cohes 3
1986 cohort 1
1987 coil 2
1988 coin 3
1989 coincid 6
1990 coincident 1
1991 coker 1
1992 coki 2
1993 cold 43
1994 cole 289
1995 coleman 1
1996 coler 7
1997 colin 7
1998 colina 23
1999 collabor 3
2000 collag 1
2001 collaps 86
2002 collat 2
2003 colleagu 23
2004 collect 32
2005 collector 5
2006 colleg 34
2007 coller 4
2008 collid 7
2009 collin 2
2010 collis 20
2011 collus 1
2012 colo 5
2013 colobora 1
2014 colombia 10
2015 colombian 3
2016 colon 4
2017 coloni 20
2018 colonna 1
2019 color 13
2020 colorado 24
2021 columbia 14
2022 columbin 1
2023 column 7
2024 columnist 1
2025 comasagua 5
2026 comb 10
2027 combat 22
2028 combin 20
2029 combrat 1
2030 come 264
2031 comeback 17
2032 comedian 1
2033 comen 1
2034 comfort 25
2035 comic 1
2036 command 127
2037 commando 5
2038 commemor 7
2039 commenc 1
2040 commend 3
2041 comment 82
2042 commentari 5
2043 commerc 10
2044 commerci 38
2045 comminut 1
2046 commiss 94
2047 commissari 2
2048 commission 15
2049 commit 89
2050 committe 79
2051 commod 11
2052 common 36
2053 commonli 5
2054 commot 1
2055 commun 113
2056 communiqu 5
2057 communist 58
2058 commut 20
2059 compact 1
2060 compani 76
2061 companion 4
2062 companionship 4
2063 compar 31
2064 comparison 9
2065 compart 38
2066 compass 5
2067 compassion 3
2068 compel 10
2069 compens 3
2070 compensatori 1
2071 compet 16
2072 competit 22
2073 competitor 2
2074 compil 4
2075 complac 4
2076 complain 40
2077 complaint 21
2078 complement 2
2079 complet 104
2080 complex 41
2081 compli 5
2082 complianc 2
2083 complic 31
2084 compliment 5
2085 compos 1
2086 composit 4
2087 composur 5
2088 compound 30
2089 comprehend 1
2090 comprehens 5
2091 compress 1
2092 compris 3
2093 compromis 16
2094 compuls 1
2095 comput 22
2096 comrad 7
2097 con 4
2098 conceal 10
2099 conced 49
2100 conceiv 9
2101 concentr 20
2102 concept 7
2103 concern 105
2104 concert 7
2105 concess 16
2106 conchita 3
2107 concili 2
2108 conciliatori 3
2109 conclud 47
2110 conclus 31
2111 concret 38
2112 concur 1
2113 concuss 1
2114 condemn 24
2115 condit 138
2116 condol 15
2117 condoleezza 1
2118 condon 2
2119 conduct 51
2120 conduit 1
2121 confer 68
2122 confess 10
2123 confetti 6
2124 confid 60
2125 confidenti 1
2126 configur 1
2127 confin 6
2128 confirm 117
2129 confisc 1
2130 conflict 46
2131 conform 1
2132 confound 2
2133 confront 39
2134 confus 22
2135 cong 1
2136 congeni 1
2137 congest 5
2138 congo 2
2139 congratul 29
2140 congreg 1
2141 congress 112
2142 congression 39
2143 congressman 42
2144 congressmen 1
2145 congresswoman 2
2146 conjunct 2
2147 connal 24
2148 connect 66
2149 connecticut 13
2150 connelli 1
2151 connett 1
2152 conni 7
2153 conniv 1
2154 connoli 1
2155 connolli 1
2156 connor 1
2157 conquer 1
2158 conqueror 3
2159 conquest 2
2160 conrad 6
2161 conscienc 3
2162 consciou 4
2163 conscious 2
2164 consecut 27
2165 consensu 9
2166 consent 2
2167 consequ 18
2168 consequenti 1
2169 conserv 19
2170 conservat 1
2171 conservationist 1
2172 consid 131
2173 consider 28
2174 consign 1
2175 consist 14
2176 consistu 1
2177 consol 8
2178 consolid 13
2179 consortium 7
2180 conspicu 2
2181 conspir 6
2182 conspiraci 18
2183 constant 10
2184 constantinescu 1
2185 constantli 10
2186 constern 1
2187 constitu 5
2188 constitut 105
2189 constrain 1
2190 constrict 1
2191 construct 30
2192 consul 10
2193 consular 3
2194 consult 20
2195 consum 4
2196 consumpt 1
2197 contact 38
2198 contain 46
2199 contamin 1
2200 contempl 4
2201 contemporari 2
2202 contempt 9
2203 contend 25
2204 content 20
2205 contenti 4
2206 contest 44
2207 context 10
2208 contin 6
2209 continent 1
2210 conting 4
2211 continu 230
2212 contort 1
2213 contract 26
2214 contractor 4
2215 contradict 6
2216 contrari 7
2217 contrast 5
2218 contribut 47
2219 contributor 5
2220 contrit 1
2221 contriv 1
2222 control 170
2223 controversi 34
2224 conven 8
2225 conveni 16
2226 convent 8
2227 converg 14
2228 convers 18
2229 convert 5
2230 convey 3
2231 convict 123
2232 convictsgetaway 1
2233 convinc 27
2234 convincingli 1
2235 convok 1
2236 convoy 14
2237 cooey 1
2238 cook 20
2239 cool 5
2240 cooler 2
2241 coon 1
2242 cooper 72
2243 coordin 27
2244 cop 1
2245 cope 9
2246 copi 19
2247 copper 2
2248 cord 1
2249 cordial 3
2250 cordillera 1
2251 cordon 10
2252 core 10
2253 corech 1
2254 coretta 1
2255 corey 2
2256 cori 3
2257 corina 4
2258 corn 2
2259 cornahaim 1
2260 cornaheim 1
2261 cornard 1
2262 corner 34
2263 cornerston 1
2264 cornett 2
2265 corni 1
2266 cornwal 1
2267 corollari 1
2268 coron 2
2269 corp 13
2270 corpor 15
2271 corps 13
2272 corpu 1
2273 corral 1
2274 correct 24
2275 correctli 5
2276 correl 4
2277 correspond 26
2278 corridor 2
2279 corros 3
2280 corrug 1
2281 corrupt 78
2282 corzin 13
2283 cosbi 1
2284 cosic 1
2285 cosmeniov 1
2286 cosminov 1
2287 cost 41
2288 costa 4
2289 costello 1
2290 costelow 1
2291 costli 5
2292 costliest 3
2293 cot 4
2294 coteri 1
2295 cotibua 1
2296 coton 1
2297 cotton 7
2298 couch 2
2299 coue 1
2300 could 420
2301 coulibali 9
2302 council 43
2303 councilman 1
2304 counsel 24
2305 counselor 2
2306 count 79
2307 counter 19
2308 counterattack 4
2309 counterintellig 3
2310 counternarcot 1
2311 counterpart 5
2312 counterpunch 1
2313 counterrevolutionari 1
2314 counterterror 10
2315 counti 35
2316 countless 1
2317 countri 410
2318 countryman 7
2319 countrymen 8
2320 countrysid 15
2321 coup 43
2322 coupl 40
2323 courag 11
2324 courier 3
2325 cours 62
2326 court 190
2327 courtesi 1
2328 courthous 4
2329 courtland 1
2330 courtroom 7
2331 courtsid 2
2332 courtyard 6
2333 cousin 4
2334 coustunitza 1
2335 coven 1
2336 cover 66
2337 coverag 19
2338 coverdel 3
2339 covic 3
2340 cow 7
2341 coward 2
2342 cowardli 15
2343 cowboy 3
2344 cower 3
2345 cowl 1
2346 cpn 2
2347 crabbi 1
2348 crack 32
2349 crackdown 10
2350 crackl 2
2351 cradl 1
2352 craft 19
2353 crafti 2
2354 cragey 3
2355 craggi 1
2356 craig 13
2357 cram 3
2358 cramp 8
2359 crane 18
2360 cranni 1
2361 crap 1
2362 crash 85
2363 crater 6
2364 crave 2
2365 crawl 9
2366 crazi 7
2367 creak 1
2368 creaki 2
2369 cream 3
2370 creasingli 1
2371 creat 48
2372 creation 5
2373 creativ 2
2374 creator 1
2375 credenc 2
2376 credenti 16
2377 credibl 42
2378 credit 20
2379 creditor 4
2380 cree 1
2381 creed 2
2382 creek 1
2383 creep 5
2384 creepi 1
2385 cremat 4
2386 crematoria 1
2387 crematorium 1
2388 crept 6
2389 crescent 1
2390 crest 2
2391 crestfallen 1
2392 crevic 1
2393 crew 133
2394 crewman 4
2395 crewmemb 5
2396 crewmen 10
2397 cri 38
2398 crime 78
2399 crimin 105
2400 criminolog 1
2401 crippl 39
2402 crise 14
2403 crisi 54
2404 crisp 3
2405 cristo 1
2406 criteria 2
2407 critic 121
2408 croat 3
2409 croatia 14
2410 croatian 2
2411 croifl 1
2412 croni 18
2413 crook 7
2414 crop 3
2415 crosbi 5
2416 cross 43
2417 crosscourt 5
2418 crossfir 1
2419 crouch 12
2420 crous 1
2421 crow 1
2422 crowbar 6
2423 crowd 104
2424 crowley 10
2425 crown 8
2426 crucial 21
2427 crucifi 1
2428 crude 1
2429 crue 1
2430 cruel 3
2431 cruelti 3
2432 cruis 16
2433 cruiser 3
2434 cruman 1
2435 crumbl 21
2436 crumpl 3
2437 crusad 4
2438 crush 22
2439 crust 1
2440 crutch 6
2441 cruz 1
2442 cryptic 1
2443 crystal 2
2444 cuba 9
2445 cuban 2
2446 cue 1
2447 cuellar 6
2448 culmin 8
2449 culpabl 1
2450 culprit 9
2451 cultiv 2
2452 cultur 11
2453 cummin 2
2454 cun 5
2455 cuomo 3
2456 cup 9
2457 cupboard 1
2458 curb 4
2459 curdl 1
2460 cure 1
2461 curfew 10
2462 curios 2
2463 curiou 9
2464 currenc 2
2465 current 52
2466 curriculum 4
2467 curs 4
2468 cursori 1
2469 curt 2
2470 curtail 4
2471 curtain 3
2472 curti 3
2473 curv 3
2474 cush 2
2475 cusp 1
2476 cussin 2
2477 custodi 21
2478 custodian 3
2479 custom 9
2480 customari 2
2481 cut 113
2482 cutback 1
2483 cutigua 1
2484 cutter 7
2485 cybercaf 1
2486 cybernet 1
2487 cycl 3
2488 cyclon 1
2489 cylind 1
2490 cylindr 1
2491 cynic 9
2492 cypru 1
2493 cyr 1
2494 czarist 1
2495 czech 14
2496 czechoslovakian 1
2497 da 2
2498 dad 11
2499 dada 1
2500 dadiv 1
2501 daewoo 5
2502 dagestan 3
2503 dagger 3
2504 daili 29
2505 daja 2
2506 dakota 19
2507 dakotan 1
2508 dakouri 1
2509 dalal 1
2510 dale 2
2511 daley 7
2512 dalla 30
2513 dalworthington 1
2514 dam 1
2515 damag 154
2516 damascu 2
2517 dame 1
2518 damir 3
2519 dammaj 1
2520 damor 1
2521 damp 1
2522 dampen 2
2523 dan 18
2524 dana 2
2525 danah 4
2526 danburi 1
2527 danc 11
2528 dancer 3
2529 dandelion 1
2530 dane 1
2531 danewich 1
2532 danforth 3
2533 danger 103
2534 dangl 2
2535 daniel 19
2536 daniela 6
2537 daniil 2
2538 danni 1
2539 danzig 4
2540 daoud 1
2541 dapist 1
2542 dar 5
2543 darden 1
2544 dare 15
2545 daren 7
2546 dark 27
2547 darken 3
2548 darl 1
2549 darn 1
2550 darrel 2
2551 dart 1
2552 darwinian 1
2553 daschl 11
2554 dash 4
2555 dashboard 1
2556 data 4
2557 date 27
2558 datelin 7
2559 daughter 54
2560 daunt 6
2561 dave 18
2562 davenport 44
2563 davi 4
2564 david 58
2565 davidian 2
2566 dawn 21
2567 day 456
2568 daybreak 3
2569 dayeb 1
2570 daylight 4
2571 dayton 9
2572 daytona 1
2573 daze 4
2574 dazesurvivor 1
2575 dc 6
2576 de 17
2577 dea 1
2578 deactiv 2
2579 dead 164
2580 deadli 53
2581 deadliest 16
2582 deadlin 13
2583 deadlock 3
2584 deaf 1
2585 deal 98
2586 dealt 6
2587 dean 5
2588 dear 5
2589 dearborn 1
2590 dearli 3
2591 death 210
2592 debar 1
2593 debat 65
2594 debbi 5
2595 deborah 3
2596 debra 2
2597 debri 47
2598 debt 14
2599 debut 1
2600 decad 81
2601 decay 2
2602 deceas 8
2603 deceit 1
2604 decemb 79
2605 decent 2
2606 decentr 3
2607 decept 1
2608 decibel 1
2609 decid 103
2610 decidedli 1
2611 decis 173
2612 deck 44
2613 declar 99
2614 declassifi 1
2615 declin 48
2616 decod 2
2617 decompos 1
2618 decor 2
2619 decrat 2
2620 decre 2
2621 decri 3
2622 ded 1
2623 dedic 9
2624 dedinj 5
2625 dee 1
2626 deed 3
2627 deem 8
2628 deep 42
2629 deepen 5
2630 deeper 3
2631 deepest 1
2632 deepli 23
2633 defac 1
2634 default 2
2635 defeat 143
2636 defect 2
2637 defenc 3
2638 defend 121
2639 defens 153
2640 defer 2
2641 defi 5
2642 defianc 7
2643 defiant 6
2644 defiantli 2
2645 defici 1
2646 deficit 11
2647 defin 7
2648 definit 37
2649 deflat 1
2650 deflect 5
2651 defoli 1
2652 defolt 1
2653 deforest 10
2654 defraud 3
2655 defunct 1
2656 defus 3
2657 degr 1
2658 degrad 4
2659 degre 23
2660 dehuman 1
2661 dehydr 3
2662 del 6
2663 delawar 25
2664 delay 34
2665 deleg 10
2666 delhi 17
2667 deli 1
2668 deliber 15
2669 delic 7
2670 delici 1
2671 delight 5
2672 deliv 36
2673 deliveri 2
2674 dell 1
2675 delsaut 2
2676 delta 9
2677 delus 2
2678 delv 1
2679 demaci 1
2680 demagogu 2
2681 demand 75
2682 demarc 1
2683 demean 1
2684 demeanor 2
2685 dementieva 5
2686 demick 1
2687 demilitar 1
2688 demis 6
2689 democraci 72
2690 democrat 188
2691 democratich 1
2692 demograph 1
2693 demolish 4
2694 demolit 5
2695 demon 4
2696 demonstr 88
2697 demot 2
2698 demur 1
2699 demystifi 1
2700 dengu 1
2701 deni 95
2702 denial 5
2703 denigr 1
2704 denis 14
2705 denisa 3
2706 denn 1
2707 denni 8
2708 denomin 1
2709 denounc 13
2710 dens 4
2711 dent 2
2712 dental 1
2713 denver 21
2714 depart 180
2715 departur 20
2716 depend 34
2717 depict 1
2718 deplan 1
2719 deplet 2
2720 deplor 2
2721 deploy 22
2722 deport 3
2723 deportieren 1
2724 depos 7
2725 deposit 4
2726 depot 4
2727 depress 3
2728 depriv 1
2729 depth 12
2730 deputi 46
2731 dequia 2
2732 derail 1
2733 derelict 1
2734 deriv 3
2735 desai 1
2736 descend 18
2737 descent 9
2738 describ 80
2739 descript 8
2740 desegreg 1
2741 desert 31
2742 deserv 15
2743 deservedli 2
2744 design 34
2745 designe 1
2746 desir 15
2747 desist 3
2748 desk 6
2749 desol 1
2750 despair 6
2751 desper 39
2752 despic 12
2753 despis 3
2754 despit 116
2755 despot 1
2756 destabil 3
2757 destin 10
2758 destini 1
2759 destitut 1
2760 destroy 227
2761 destruct 27
2762 desvid 1
2763 detach 3
2764 detail 89
2765 detain 31
2766 detaine 2
2767 detect 14
2768 detector 1
2769 detent 10
2770 deter 15
2771 deterg 1
2772 deterior 11
2773 determin 101
2774 deterr 2
2775 detest 1
2776 deton 30
2777 detour 4
2778 detritu 1
2779 detroit 3
2780 deuc 12
2781 deutch 8
2782 deutsch 1
2783 devast 58
2784 devastatingli 1
2785 develop 97
2786 deviat 1
2787 devic 15
2788 devilish 1
2789 devis 1
2790 devot 15
2791 devour 2
2792 devoutli 1
2793 dewat 2
2794 dewin 2
2795 dhabi 4
2796 dhahran 12
2797 dharan 1
2798 dhingra 1
2799 dhrumal 1
2800 diabak 1
2801 diagnos 5
2802 diagnosi 1
2803 diagnost 1
2804 diagnostico 1
2805 diagram 1
2806 dialect 1
2807 diallo 2
2808 dialo 3
2809 dialogu 8
2810 diamet 3
2811 diamond 3
2812 dian 2
2813 diann 3
2814 diari 1
2815 diarrhea 2
2816 diaz 2
2817 dick 36
2818 dickinson 1
2819 dictablanda 1
2820 dictadura 1
2821 dictat 29
2822 dictatori 3
2823 dictatorship 10
2824 diction 4
2825 dictionari 1
2826 dictment 1
2827 die 192
2828 diego 5
2829 dienstbier 2
2830 diesel 2
2831 diet 3
2832 differ 107
2833 difficult 84
2834 difficulti 21
2835 diffus 1
2836 dig 49
2837 digest 1
2838 digger 3
2839 digit 2
2840 dignitari 5
2841 digniti 8
2842 dilapid 1
2843 dilemma 4
2844 dilfer 1
2845 dilig 1
2846 dilut 1
2847 dime 1
2848 dimens 2
2849 diminish 5
2850 diminut 1
2851 dimitr 1
2852 dimitri 2
2853 dimmer 1
2854 dina 1
2855 dinar 2
2856 dine 8
2857 dinghi 4
2858 dingi 1
2859 dinh 2
2860 dinkic 3
2861 dinner 10
2862 dioulo 1
2863 dip 2
2864 diplomaci 8
2865 diplomat 69
2866 diplospeak 4
2867 dire 1
2868 direct 75
2869 directli 40
2870 director 101
2871 diring 1
2872 dirksen 1
2873 dirt 33
2874 dirti 11
2875 dirtiest 1
2876 disabl 4
2877 disadvantag 1
2878 disaffect 1
2879 disagr 3
2880 disagre 8
2881 disappear 24
2882 disappoint 25
2883 disapprov 1
2884 disarm 1
2885 disarma 1
2886 disarray 2
2887 disassembl 1
2888 disast 76
2889 disastr 8
2890 disband 6
2891 disbar 4
2892 disbelief 5
2893 disc 1
2894 discard 2
2895 discharg 3
2896 disciplin 13
2897 disciplinari 6
2898 disclos 12
2899 disclosur 7
2900 discomfort 4
2901 discont 2
2902 discontinu 1
2903 discord 2
2904 discothequ 1
2905 discount 1
2906 discourag 7
2907 discov 37
2908 discoveri 12
2909 discovi 1
2910 discredit 10
2911 discreet 1
2912 discrep 4
2913 discret 4
2914 discrimin 2
2915 discuss 74
2916 disdain 4
2917 diseas 9
2918 disenfranchis 3
2919 disgaz 1
2920 disgrac 12
2921 disgruntl 5
2922 disguis 9
2923 disgust 1
2924 dish 1
2925 dishdasha 1
2926 dishearten 2
2927 dishonor 2
2928 disillus 2
2929 disinfect 5
2930 disinform 1
2931 disintegr 10
2932 dislik 1
2933 disloc 2
2934 dislodg 2
2935 dismal 1
2936 dismantl 8
2937 dismay 3
2938 dismemb 1
2939 dismiss 32
2940 disobedi 14
2941 disord 3
2942 disori 2
2943 dispar 4
2944 disparag 2
2945 dispatch 26
2946 dispel 2
2947 dispens 1
2948 dispers 13
2949 displac 2
2950 display 29
2951 displeas 1
2952 displeasur 1
2953 dispos 12
2954 disposit 1
2955 disprov 2
2956 disput 33
2957 disqualifi 6
2958 disquiet 1
2959 disregard 5
2960 disreput 1
2961 disrespect 2
2962 disrupt 9
2963 dissect 1
2964 dissemin 4
2965 dissent 5
2966 dissid 6
2967 dissip 1
2968 dissolv 12
2969 dissuas 1
2970 distanc 16
2971 distant 7
2972 distinct 7
2973 distinctli 1
2974 distinguish 7
2975 distort 6
2976 distract 8
2977 distraught 13
2978 distress 4
2979 distribut 26
2980 district 38
2981 distrust 1
2982 disturb 9
2983 disun 2
2984 ditch 2
2985 dive 21
2986 diver 67
2987 divers 8
2988 diversifi 1
2989 divert 8
2990 divid 33
2991 divis 26
2992 divorc 3
2993 divulg 4
2994 dixvil 1
2995 dizzi 2
2996 djahouri 1
2997 djibouti 20
2998 djikal 1
2999 djila 1
3000 djindjic 17
3001 djukanov 3
3002 djuro 1
3003 dmitri 12
3004 dmon 1
3005 dna 5
3006 dnevnik 1
3007 do 1
3008 doan 1
3009 dobrica 1
3010 dochterman 1
3011 dock 42
3012 docksid 2
3013 doctor 51
3014 doctrin 1
3015 document 44
3016 documentari 1
3017 dodg 1
3018 dodgi 3
3019 doer 1
3020 dog 32
3021 dogged 1
3022 doggedli 1
3023 doha 1
3024 dokic 9
3025 doll 1
3026 dollar 37
3027 dolphin 1
3028 domain 1
3029 dome 2
3030 domest 16
3031 domin 38
3032 dominican 1
3033 dominik 16
3034 dominikov 4
3035 dominion 2
3036 dominiqu 1
3037 domino 2
3038 don 2
3039 donald 35
3040 donaldson 2
3041 donat 19
3042 done 109
3043 dong 1
3044 donkey 1
3045 donna 2
3046 donor 11
3047 dooda 1
3048 doom 9
3049 door 47
3050 doorway 2
3051 dopher 1
3052 dora 1
3053 dorcol 1
3054 doreen 1
3055 dori 1
3056 dormitori 1
3057 dorothi 2
3058 dose 1
3059 dostoyevski 1
3060 dot 3
3061 doubl 35
3062 doubt 50
3063 doudou 1
3064 doug 1
3065 dougal 9
3066 dougherti 2
3067 dougla 1
3068 dour 2
3069 dove 1
3070 dover 24
3071 dow 2
3072 down 4
3073 downbeat 1
3074 downfal 19
3075 downplay 3
3076 downpour 1
3077 downstair 2
3078 downtown 29
3079 dows 1
3080 doyal 1
3081 doze 1
3082 dozen 112
3083 dozo 1
3084 draconian 2
3085 draft 16
3086 drag 15
3087 dragan 6
3088 dragana 1
3089 dragesa 1
3090 dragisha 1
3091 dragoljub 8
3092 dragomir 2
3093 dragon 2
3094 drain 8
3095 drama 13
3096 draman 15
3097 dramat 33
3098 drape 12
3099 draper 2
3100 draskov 4
3101 drastic 1
3102 draw 48
3103 drawn 17
3104 dread 1
3105 dream 20
3106 dress 24
3107 dresser 1
3108 drew 23
3109 drexel 1
3110 dri 16
3111 drift 3
3112 drill 8
3113 drink 13
3114 drip 1
3115 drissa 3
3116 drive 61
3117 driven 16
3118 driver 24
3119 driveway 1
3120 drizzl 1
3121 drizzli 1
3122 drop 51
3123 drought 2
3124 drove 22
3125 drown 6
3126 drub 1
3127 drudg 1
3128 drug 41
3129 drugli 1
3130 drum 1
3131 drumbeat 2
3132 drummer 2
3133 drunk 3
3134 drunken 1
3135 drydock 1
3136 du 1
3137 dual 1
3138 duan 1
3139 dub 3
3140 dubai 5
3141 dubiou 1
3142 duboc 1
3143 duc 7
3144 duck 2
3145 duct 6
3146 dudley 12
3147 due 38
3148 duel 3
3149 duffel 2
3150 duffi 4
3151 duffl 1
3152 dug 21
3153 duglon 1
3154 duguid 2
3155 duke 1
3156 dull 1
3157 duluth 1
3158 duma 1
3159 dump 12
3160 duo 1
3161 duopoli 1
3162 dupe 1
3163 duplic 1
3164 durango 2
3165 duress 1
3166 dusan 1
3167 dusk 2
3168 dust 13
3169 dusti 11
3170 dutch 3
3171 duti 27
3172 duval 1
3173 dwarf 1
3174 dwell 2
3175 dwight 2
3176 dwindl 11
3177 dwyer 1
3178 dy 5
3179 dye 2
3180 dygalo 2
3181 dynam 4
3182 dynamit 4
3183 dynasti 1
3184 dysfunct 1
3185 e 1
3186 eager 18
3187 eagl 1
3188 eagleton 1
3189 eaker 1
3190 ear 7
3191 eardrum 2
3192 earli 180
3193 earlier 188
3194 earliest 7
3195 earmark 8
3196 earn 22
3197 earnest 5
3198 earshot 1
3199 earth 29
3200 earthmov 3
3201 earthquak 110
3202 eas 27
3203 easi 34
3204 easier 12
3205 easiest 2
3206 easili 25
3207 easley 1
3208 east 127
3209 eastern 40
3210 eat 15
3211 eaten 2
3212 eavesdrop 1
3213 eb 3
3214 ebb 5
3215 ebri 1
3216 eccel 1
3217 echeverria 1
3218 echo 28
3219 eclips 2
3220 ecolog 1
3221 ecologist 1
3222 econolin 1
3223 econom 83
3224 economi 73
3225 economist 12
3226 ecstat 1
3227 ecuador 10
3228 ecuadorian 1
3229 ed 12
3230 edberg 1
3231 edg 46
3232 edgar 1
3233 edict 1
3234 edific 1
3235 edikipa 1
3236 edinburgh 1
3237 edit 16
3238 editor 16
3239 editori 16
3240 edmond 32
3241 edmund 25
3242 edmundo 1
3243 edt 13
3244 eduard 1
3245 eduardo 1
3246 educ 37
3247 edward 6
3248 edwardo 1
3249 edwin 2
3250 eeri 2
3251 eerili 1
3252 effect 76
3253 effici 4
3254 effort 185
3255 effortlessli 1
3256 eg 1
3257 egg 5
3258 egoavil 3
3259 egotist 2
3260 egregi 1
3261 egypt 26
3262 egyptian 31
3263 ehud 8
3264 eighth 15
3265 eighti 2
3266 eisenhow 3
3267 either 60
3268 eject 2
3269 ekra 1
3270 el 68
3271 elabor 24
3272 elana 1
3273 elast 1
3274 elat 1
3275 elayn 1
3276 elbaum 1
3277 elbow 7
3278 elder 6
3279 elderli 5
3280 eldest 3
3281 elect 298
3282 elector 80
3283 electr 42
3284 electrician 3
