20
t_index tf-idf
263 0.28210730463277445
483 0.18625700886321692
833 0.22929629630494391
1494 0.2560693644911065
1956 0.1779094449525082
2071 0.32197367479610456
2611 0.14058749486337974
3281 0.09915513092545698
3784 0.18787813767699407
5351 0.2336512061335731
6772 0.10925589766753391
7339 0.13506712934916357
7394 0.4640575557507351
7886 0.2715816055018781
8089 0.12227625547463095
8724 0.2715816055018781
9077 0.031101486184590937
9514 0.24665119495784088
10331 0.10639126777771989
11501 0.1779094449525082
