81
t_index tf-idf
193 0.06657721942883996
333 0.04188714992101399
362 0.06390213602294556
493 0.14235308318991577
606 0.18575428826211093
668 0.148096572490851
690 0.12230203026276312
956 0.06662459845493933
1000 0.12375788267294169
1032 0.0918867848861389
1431 0.17146187161415
1576 0.20835034318602869
1686 0.08904933667409827
1797 0.09779480292173379
1816 0.1670794268537192
2050 0.0782689392684085
2121 0.08273275838738588
2635 0.06060311774088788
3186 0.12230203026276312
3281 0.03874403502145587
3322 0.1191653767868517
3403 0.14644396868756449
3422 0.13696338674096578
3433 0.1191653767868517
3573 0.05261671827463245
4064 0.04832468655189827
4208 0.0804397304955854
4227 0.06657721942883996
4258 0.18771488501987393
4268 0.0670905196129376
4338 0.18767772906688596
4387 0.1221743137597463
4456 0.16043629311916116
4646 0.05002633100883047
5379 0.08851291363589622
5408 0.0918867848861389
5430 0.20435001826021423
5459 0.14829169910189918
5472 0.062317010983494944
5546 0.07095509867229295
5843 0.023159186352368057
5845 0.05744565288827238
5869 0.06632385046834677
5971 0.14644396868756449
6266 0.05031964050613823
6471 0.0831738134641739
6692 0.0831738134641739
6772 0.04269082483198812
6802 0.061662684135094986
6958 0.056889175505652326
6984 0.03561737338090011
7060 0.07136470191408192
7070 0.03429792524756322
7142 0.12400367471969534
7268 0.03278810280197304
7337 0.1813265942384194
7411 0.14293748842891787
7634 0.06123432173518343
7939 0.17564391580747327
8075 0.06390213602294556
8087 0.020662658417624595
8120 0.12069241268950588
8206 0.07539725221054352
8700 0.06582349124214157
9077 0.020576216001482715
9287 0.08453759418910028
9335 0.12230203026276312
9349 0.11020419953815938
10016 0.06484731614381274
10200 0.1504192881343604
10461 0.03481870832051836
10618 0.07277836262263837
11298 0.17564391580747327
11323 0.03934956111311346
11507 0.08645894940829629
11580 0.14293748842891787
11749 0.29739100083193176
11759 0.06367045646333827
11767 0.09502343836205035
11878 0.023100058878785405
11934 0.024121554532760367
